Almacén,Cliente,Identificación cliente,Telefono cliente,Celular cliente,# factura,Codigo del producto,Detalle producto,Cantidad producto,Cantidad Devueltas,Fecha factura,Precio venta x producto,Precio compra x producto,Descuento,Descuento Total,Venta - descuento,impuesto Total,Impuesto,Subtotal,Total venta,Ciudad,Forma pago,Vendedor,Vendedor2,Usuario,No. Transacción,Promoción,Nota,Categoria,Proveedor,Nota Crédito,Grupo
Cabecera,general,0,,,No2648,44,Pancakes Tropical,1,0,2022-03-01 08:29:33,15500,7270,0,0,15500,0,0,15500,15500,,efectivo,,,erickfaloquin@gmail.com,,,,CARTA,,No,sin grupo
Cabecera,general,0,,,No2648,,PROPINA,1,0,2022-03-01 08:29:33,0,0,0,0,0,0,0,0,0,,efectivo,,,erickfaloquin@gmail.com,,,,,,No,sin grupo
Cabecera,general,0,,,No2649,47,Omelett napolitano,2,0,2022-03-01 09:07:59,8000,3600,0,0,8000,0,0,16000,16000,,efectivo,,,erickfaloquin@gmail.com,,,,CARTA,,No,sin grupo
Cabecera,general,0,,,No2649,73,Batido Frutos Rojos,1,0,2022-03-01 09:07:59,14000,6760,0,0,14000,0,0,14000,14000,,efectivo,,,erickfaloquin@gmail.com,,,,CARTA,,No,sin grupo
Cabecera,general,0,,,No2649,,PROPINA,1,0,2022-03-01 09:07:59,0,0,0,0,0,0,0,0,0,,efectivo,,,erickfaloquin@gmail.com,,,,,,No,sin grupo
Cabecera,general,0,,,No2650,46,Omelett queso y champiñones,1,0,2022-03-01 09:54:10,8000,4100,0,0,8000,0,0,8000,8000,,efectivo,,,erickfaloquin@gmail.com,,,,CARTA,snucks,No,sin grupo
Cabecera,general,0,,,No2650,,PROPINA,1,0,2022-03-01 09:54:10,0,0,0,0,0,0,0,0,0,,efectivo,,,erickfaloquin@gmail.com,,,,,,No,sin grupo
Cabecera,general,0,,,No2651,36,Parfait Balance,1,0,2022-03-01 10:19:36,12500,4500,0,0,12500,0,0,12500,12500,,efectivo,,,erickfaloquin@gmail.com,,,,CARTA,,No,sin grupo
Cabecera,general,0,,,No2651,,PROPINA,1,0,2022-03-01 10:19:36,0,0,0,0,0,0,0,0,0,,efectivo,,,erickfaloquin@gmail.com,,,,,,No,sin grupo
Cabecera,general,0,,,No2652,48,Sandwich de pollo,1,0,2022-03-01 11:05:12,14000,5275,0,0,14000,0,0,14000,14000,,tarjeta debito,,,erickfaloquin@gmail.com,,,,CARTA,snucks,No,sin grupo
Cabecera,general,0,,,No2652,63,Té Chai en leche de vaca,1,0,2022-03-01 11:05:12,4000,1500,0,0,4000,0,0,4000,4000,,tarjeta debito,,,erickfaloquin@gmail.com,,,,CARTA,,No,sin grupo
Cabecera,general,0,,,No2652,,PROPINA,1,0,2022-03-01 11:05:12,0,0,0,0,0,0,0,0,0,,tarjeta debito,,,erickfaloquin@gmail.com,,,,,,No,sin grupo
Cabecera,general,0,,,No2653,decom,desayuno completo,1,0,2022-03-01 11:14:20,40000,16500,0,0,40000,0,0,40000,40000,,efectivo,,,erickfaloquin@gmail.com,,,,CARTA,snucks,No,sin grupo
Cabecera,general,0,,,No2653,,PROPINA,1,0,2022-03-01 11:14:20,0,0,0,0,0,0,0,0,0,,efectivo,,,erickfaloquin@gmail.com,,,,,,No,sin grupo
Cabecera,general,0,,,No2654,52,Deditos de Queso Integral,4,0,2022-03-01 15:49:15,5000,3500,0,0,5000,0,0,20000,20000,,efectivo,,,erickfaloquin@gmail.com,,,,CARTA,,No,sin grupo
Cabecera,general,0,,,No2654,,PROPINA,1,0,2022-03-01 15:49:15,0,0,0,0,0,0,0,0,0,,efectivo,,,erickfaloquin@gmail.com,,,,,,No,sin grupo
Cabecera,general,0,,,No2655,57,Cappucino en leche de vaca,1,0,2022-03-01 17:38:41,3000,1300,0,0,3000,0,0,3000,3000,,efectivo,,,erickfaloquin@gmail.com,,,,CARTA,,No,sin grupo
Cabecera,general,0,,,No2655,,PROPINA,1,0,2022-03-01 17:38:41,0,0,0,0,0,0,0,0,0,,efectivo,,,erickfaloquin@gmail.com,,,,,,No,sin grupo
Cabecera,general,0,,,No2656,39,Bowl de Avena Natural,1,0,2022-03-01 17:41:35,9000,4500,0,0,9000,0,0,9000,9000,,efectivo,,,erickfaloquin@gmail.com,,,,CARTA,,No,sin grupo
Cabecera,general,0,,,No2656,,PROPINA,1,0,2022-03-01 17:41:35,0,0,0,0,0,0,0,0,0,,efectivo,,,erickfaloquin@gmail.com,,,,,,No,sin grupo
Cabecera,general,0,,,No2657,57,Cappucino en leche de vaca,1,0,2022-03-01 17:49:28,3000,1300,0,0,3000,0,0,3000,3000,,efectivo,,,erickfaloquin@gmail.com,,,,CARTA,,No,sin grupo
Cabecera,general,0,,,No2657,52,Deditos de Queso Integral,1,0,2022-03-01 17:49:28,5000,3500,0,0,5000,0,0,5000,5000,,efectivo,,,erickfaloquin@gmail.com,,,,CARTA,,No,sin grupo
Cabecera,general,0,,,No2657,,PROPINA,1,0,2022-03-01 17:49:28,0,0,0,0,0,0,0,0,0,,efectivo,,,erickfaloquin@gmail.com,,,,,,No,sin grupo
Cabecera,general,0,,,No2658,54,Empanadas Integrales,1,0,2022-03-01 17:49:55,5000,3600,0,0,5000,0,0,5000,5000,,efectivo,,,erickfaloquin@gmail.com,,,,CARTA,,No,sin grupo
Cabecera,general,0,,,No2658,56,Cappucino en bebida Vegetal,1,0,2022-03-01 17:49:55,5000,2300,0,0,5000,0,0,5000,5000,,efectivo,,,erickfaloquin@gmail.com,,,,CARTA,,No,sin grupo
Cabecera,general,0,,,No2658,,PROPINA,1,0,2022-03-01 17:49:55,0,0,0,0,0,0,0,0,0,,efectivo,,,erickfaloquin@gmail.com,,,,,,No,sin grupo
Cabecera,general,0,,,No2659,44,Pancakes Tropical,1,0,2022-03-01 19:19:10,15500,7270,0,0,15500,0,0,15500,15500,,tarjeta debito,,,erickfaloquin@gmail.com,,,,CARTA,,No,sin grupo
Cabecera,general,0,,,No2659,48,Sandwich de pollo,1,0,2022-03-01 19:19:10,14000,5275,0,0,14000,0,0,14000,14000,,tarjeta debito,,,erickfaloquin@gmail.com,,,,CARTA,snucks,No,sin grupo
Cabecera,general,0,,,No2659,79,Soda con frutas,2,0,2022-03-01 19:19:10,5000,2000,0,0,5000,0,0,10000,10000,,tarjeta debito,,,erickfaloquin@gmail.com,,,,CARTA,Alfoli,No,sin grupo
Cabecera,general,0,,,No2659,,PROPINA,1,0,2022-03-01 19:19:10,0,0,0,0,0,0,0,0,0,,tarjeta debito,,,erickfaloquin@gmail.com,,,,,,No,sin grupo
Cabecera,general,0,,,No2660,46,Omelett queso y champiñones,2,0,2022-03-02 09:29:38,8000,4100,0,0,8000,0,0,16000,16000,,efectivo,,,erickfaloquin@gmail.com,,,,CARTA,snucks,No,sin grupo
