Almacén,Cliente,Identificación cliente,Telefono cliente,Celular cliente,# factura,Codigo del producto,Detalle producto,Cantidad producto,Cantidad Devueltas,Fecha factura,Precio venta x producto,Precio compra x producto,Descuento,Descuento Total,Venta - descuento,impuesto Total,Impuesto,Subtotal,Total venta,Ciudad,Forma pago,Vendedor,Vendedor2,Usuario,No. Transacción,Promoción,Nota,Categoria,Proveedor,Nota Crédito,Grupo
Cabecera,general,0,,,No8286,48,Sandwich de pollo,1,0,2023-06-01 08:30:01,15000,5275,0,0,15000,0,0,15000,15000,,efectivo,,,erickfaloquin@gmail.com,,,,CARTA,snucks,No,sin grupo
Cabecera,general,0,,,No8286,66,Americano,1,0,2023-06-01 08:30:01,3000,1000,0,0,3000,0,0,3000,3000,,efectivo,,,erickfaloquin@gmail.com,,,,CARTA,,No,sin grupo
Cabecera,general,0,,,No8286,,PROPINA,1,0,2023-06-01 08:30:01,0,0,0,0,0,0,0,0,0,,efectivo,,,erickfaloquin@gmail.com,,,,,,No,sin grupo
Cabecera,general,0,,,No8287,ahu,Pizza ahuyamin,1,0,2023-06-01 08:43:52,21500,8500,0,0,21500,0,0,21500,21500,,efectivo,,,erickfaloquin@gmail.com,,,,General,,No,sin grupo
Cabecera,general,0,,,No8287,,PROPINA,1,0,2023-06-01 08:43:52,0,0,0,0,0,0,0,0,0,,efectivo,,,erickfaloquin@gmail.com,,,,,,No,sin grupo
Cabecera,general,0,,,No8288,48,Sandwich de pollo,1,0,2023-06-01 08:47:34,15000,5275,0,0,15000,0,0,15000,15000,,nequi,,,erickfaloquin@gmail.com,,,,CARTA,snucks,No,sin grupo
Cabecera,general,0,,,No8288,,PROPINA,1,0,2023-06-01 08:47:34,0,0,0,0,0,0,0,0,0,,nequi,,,erickfaloquin@gmail.com,,,,,,No,sin grupo
Cabecera,general,0,,,No8289,54,Empanadas Integrales,1,0,2023-06-01 08:52:05,5500,3600,0,0,5500,0,0,5500,5500,,nequi,,,erickfaloquin@gmail.com,,,,CARTA,,No,sin grupo
Cabecera,general,0,,,No8289,,PROPINA,1,0,2023-06-01 08:52:05,0,0,0,0,0,0,0,0,0,,nequi,,,erickfaloquin@gmail.com,,,,,,No,sin grupo
Cabecera,general,0,,,No8290,48,Sandwich de pollo,1,0,2023-06-01 10:19:56,15000,5275,0,0,15000,0,0,15000,15000,,nequi,,,erickfaloquin@gmail.com,,,,CARTA,snucks,No,sin grupo
Cabecera,general,0,,,No8290,tehat,Té hatsu,1,0,2023-06-01 10:19:56,6500,3200,0,0,6500,0,0,6500,6500,,nequi,,,erickfaloquin@gmail.com,,,,General,,No,sin grupo
Cabecera,general,0,,,No8290,37,Bowl de Fruta Salpicon,1,0,2023-06-01 10:19:56,10000,2500,0,0,10000,0,0,10000,10000,,nequi,,,erickfaloquin@gmail.com,,,,CARTA,snucks,No,sin grupo
Cabecera,general,0,,,No8290,,PROPINA,1,0,2023-06-01 10:19:56,0,0,0,0,0,0,0,0,0,,nequi,,,erickfaloquin@gmail.com,,,,,,No,sin grupo
Cabecera,general,0,,,No8291,Omelees,Omelette especial,1,0,2023-06-01 10:41:54,10000,4500,0,0,10000,0,0,10000,10000,,efectivo,,,erickfaloquin@gmail.com,,,,General,snucks,No,sin grupo
Cabecera,general,0,,,No8291,66,Americano,2,0,2023-06-01 10:41:54,3000,1000,0,0,3000,0,0,6000,6000,,efectivo,,,erickfaloquin@gmail.com,,,,CARTA,,No,sin grupo
Cabecera,general,0,,,No8291,77,Batido Verde,1,0,2023-06-01 10:41:54,7000,3000,0,0,7000,0,0,7000,7000,,efectivo,,,erickfaloquin@gmail.com,,,,CARTA,,No,sin grupo
Cabecera,general,0,,,No8291,52,Dedo de queso Integral,2,0,2023-06-01 10:41:54,5500,3500,0,0,5500,0,0,11000,11000,,efectivo,,,erickfaloquin@gmail.com,,,,CARTA,,No,sin grupo
Cabecera,general,0,,,No8291,565,huevos revueltos ,1,0,2023-06-01 10:41:54,6500,3000,0,0,6500,0,0,6500,6500,,efectivo,,,erickfaloquin@gmail.com,,,,General,,No,sin grupo
Cabecera,general,0,,,No8291,,PROPINA,1,0,2023-06-01 10:41:54,0,0,0,0,0,0,0,0,0,,efectivo,,,erickfaloquin@gmail.com,,,,,,No,sin grupo
Cabecera,general,0,,,No8292,57,Cappucino en leche de vaca,2,0,2023-06-01 11:27:32,3500,1300,0,0,3500,0,0,7000,7000,,efectivo,,,erickfaloquin@gmail.com,,,,CARTA,,No,sin grupo
Cabecera,general,0,,,No8292,,PROPINA,1,0,2023-06-01 11:27:32,0,0,0,0,0,0,0,0,0,,efectivo,,,erickfaloquin@gmail.com,,,,,,No,sin grupo
Cabecera,general,0,,,No8293,42,Waffle Fresa y Arandanos,1,0,2023-06-01 16:33:05,17000,5000,0,0,17000,0,0,17000,17000,,nequi,,,erickfaloquin@gmail.com,,,,CARTA,,No,sin grupo
Cabecera,general,0,,,No8293,48,Sandwich de pollo,1,0,2023-06-01 16:33:05,15000,5275,0,0,15000,0,0,15000,15000,,nequi,,,erickfaloquin@gmail.com,,,,CARTA,snucks,No,sin grupo
Cabecera,general,0,,,No8293,,PROPINA,1,0,2023-06-01 16:33:05,0,0,0,0,0,0,0,0,0,,nequi,,,erickfaloquin@gmail.com,,,,,,No,sin grupo
Cabecera,general,0,,,No8294,WHEVA,Waffle con Helado Vainilla,1,0,2023-06-01 16:36:03,17000,7800,0,0,17000,0,0,17000,17000,,efectivo,,,erickfaloquin@gmail.com,,,,CARTA,snucks,No,sin grupo
Cabecera,general,0,,,No8294,,PROPINA,1,0,2023-06-01 16:36:03,0,0,0,0,0,0,0,0,0,,efectivo,,,erickfaloquin@gmail.com,,,,,,No,sin grupo
Cabecera,general,0,,,No8295,Soda,Soda hatsu ,2,0,2023-06-01 17:12:10,4000,2500,0,0,4000,0,0,8000,8000,,nequi,,,erickfaloquin@gmail.com,,,,CARTA,,No,sin grupo
Cabecera,general,0,,,No8295,48,Sandwich de pollo,1,0,2023-06-01 17:12:10,15000,5275,0,0,15000,0,0,15000,15000,,nequi,,,erickfaloquin@gmail.com,,,,CARTA,snucks,No,sin grupo
Cabecera,general,0,,,No8295,,PROPINA,1,0,2023-06-01 17:12:10,0,0,0,0,0,0,0,0,0,,nequi,,,erickfaloquin@gmail.com,,,,,,No,sin grupo
Cabecera,general,0,,,No8296,WHEVA,Waffle con Helado Vainilla,1,0,2023-06-01 18:17:09,16500,7800,0,0,16500,0,0,16500,16500,,nequi,,,erickfaloquin@gmail.com,,,,CARTA,snucks,No,sin grupo
Cabecera,general,0,,,No8296,carne,Sandwich de carne,1,0,2023-06-01 18:17:09,18000,6500,0,0,18000,0,0,18000,18000,,nequi,,,erickfaloquin@gmail.com,,,,General,snucks,No,sin grupo
Cabecera,general,0,,,No8296,48,Sandwich de pollo,1,0,2023-06-01 18:17:09,15000,5275,0,0,15000,0,0,15000,15000,,nequi,,,erickfaloquin@gmail.com,,,,CARTA,snucks,No,sin grupo
Cabecera,general,0,,,No8296,,PROPINA,1,0,2023-06-01 18:17:09,0,0,0,0,0,0,0,0,0,,nequi,,,erickfaloquin@gmail.com,,,,,,No,sin grupo
Cabecera,general,0,,,No8297,49,Sandwich de atún,1,0,2023-06-01 18:21:59,18000,9300,0,0,18000,0,0,18000,18000,,nequi,,,erickfaloquin@gmail.com,,,,CARTA,,No,sin grupo
Cabecera,general,0,,,No8297,0006,porción de ensalada ,1,0,2023-06-01 18:21:59,5000,2800,0,0,5000,0,0,5000,5000,,nequi,,,erickfaloquin@gmail.com,,,,General,,No,sin grupo
Cabecera,general,0,,,No8297,,PROPINA,1,0,2023-06-01 18:21:59,0,0,0,0,0,0,0,0,0,,nequi,,,erickfaloquin@gmail.com,,,,,,No,sin grupo
Cabecera,general,0,,,No8298,52,Dedo de queso Integral,1,0,2023-06-01 18:50:09,5500,3500,0,0,5500,0,0,5500,5500,,efectivo,,,erickfaloquin@gmail.com,,,,CARTA,,No,sin grupo
Cabecera,general,0,,,No8298,,PROPINA,1,0,2023-06-01 18:50:09,0,0,0,0,0,0,0,0,0,,efectivo,,,erickfaloquin@gmail.com,,,,,,No,sin grupo
Cabecera,general,0,,,No8299,48,Sandwich de pollo,1,0,2023-06-01 19:16:21,15000,5275,0,0,15000,0,0,15000,15000,,efectivo,,,erickfaloquin@gmail.com,,,,CARTA,snucks,No,sin grupo
Cabecera,general,0,,,No8299,vegelpo,Pizza vegetales con pollo,1,0,2023-06-01 19:16:21,20500,6400,0,0,20500,0,0,20500,20500,,efectivo,,,erickfaloquin@gmail.com,,,,General,,No,sin grupo
Cabecera,general,0,,,No8299,ahu,Pizza ahuyamin,1,0,2023-06-01 19:16:21,21500,8500,0,0,21500,0,0,21500,21500,,efectivo,,,erickfaloquin@gmail.com,,,,General,,No,sin grupo
Cabecera,general,0,,,No8299,,PROPINA,1,0,2023-06-01 19:16:21,0,0,0,0,0,0,0,0,0,,efectivo,,,erickfaloquin@gmail.com,,,,,,No,sin grupo
Cabecera,general,0,,,No8300,48,Sandwich de pollo,1,0,2023-06-01 19:48:00,15000,5275,0,0,15000,0,0,15000,15000,,efectivo,,,erickfaloquin@gmail.com,,,,CARTA,snucks,No,sin grupo
Cabecera,general,0,,,No8300,49,Sandwich de atún,1,0,2023-06-01 19:48:00,18000,9300,0,0,18000,0,0,18000,18000,,efectivo,,,erickfaloquin@gmail.com,,,,CARTA,,No,sin grupo
Cabecera,general,0,,,No8300,sandwpo,Sándwich de pollo con manzana,1,0,2023-06-01 19:48:00,19000,6900,0,0,19000,0,0,19000,19000,,efectivo,,,erickfaloquin@gmail.com,,,,General,,No,sin grupo
Cabecera,general,0,,,No8300,tehat,Té hatsu,3,0,2023-06-01 19:48:00,6500,3200,0,0,6500,0,0,19500,19500,,efectivo,,,erickfaloquin@gmail.com,,,,General,,No,sin grupo
Cabecera,general,0,,,No8300,,PROPINA,1,0,2023-06-01 19:48:00,0,0,0,0,0,0,0,0,0,,efectivo,,,erickfaloquin@gmail.com,,,,,,No,sin grupo
